Category_id,Category_url
c1626,https://tiki.vn/thiet-bi-cham-soc-rang/c1626
c1627,https://tiki.vn/nuoc-suc-mieng/c1627
c1628,https://tiki.vn/chi-nha-khoa/c1628
c53348,https://tiki.vn/ban-chai-dien/c53348
c17186,https://tiki.vn/san-pham-cham-soc-ca-nhan-khac/c17186
c1728,https://tiki.vn/bot-cao-rau/c1728
c1752,https://tiki.vn/dung-dich-ve-sinh/c1752
c4408,https://tiki.vn/khan-giay-uot/c4408
c8176,https://tiki.vn/san-pham-cham-soc-ca-nhan/c8176
c8300,https://tiki.vn/bang-ve-sinh/c8300
c1636,https://tiki.vn/nuoc-hoa-nu/c1636
c1637,https://tiki.vn/nuoc-hoa-nam/c1637
c11689,https://tiki.vn/may-hut-mun/c11689
c11937,https://tiki.vn/may-xong-da-mat/c11937
c11939,https://tiki.vn/san-pham-dinh-hinh/c11939
c11803,https://tiki.vn/bo-cham-soc-mong/c11803
c11807,https://tiki.vn/kem-bam-mong/c11807
c11809,https://tiki.vn/dua-lam-bong-mong/c11809
c11811,https://tiki.vn/bo-cat-mong/c11811
c8199,https://tiki.vn/son-mong/c8199
c8200,https://tiki.vn/nuoc-tay-son-mong-duong-mong/c8200
c8201,https://tiki.vn/mong-gia/c8201
c8202,https://tiki.vn/mieng-dan-trang-tri-mong/c8202
c8204,https://tiki.vn/bo-mau-son-mong/c8204
c8205,https://tiki.vn/bo-dung-cu-phu-kien-lam-mong/c8205
c1634,https://tiki.vn/dao-may-cao-rau-hot-toc/c1634
c5905,https://tiki.vn/may-dung-cu-rua-mat/c5905
c11933,https://tiki.vn/lam-thon-gon-co-the/c11933
c11935,https://tiki.vn/massage-mat/c11935
c8165,https://tiki.vn/dung-cu-tay-long/c8165
c11831,https://tiki.vn/lo-quan-toc/c11831
c11941,https://tiki.vn/may-ep-duoi-toc/c11941
c11943,https://tiki.vn/may-uon-toc/c11943
c2334,https://tiki.vn/may-say-toc/c2334
c7064,https://tiki.vn/luoc-bang-do/c7064
c8167,https://tiki.vn/dung-cu-lam-dep-khac/c8167
c11905,https://tiki.vn/may-que-thu-duong-huyet/c11905
c11907,https://tiki.vn/may-do-nong-do-oxy-mau/c11907
c11911,https://tiki.vn/dai-lung/c11911
c11915,https://tiki.vn/ong-tai-nghe/c11915
c8168,https://tiki.vn/may-do-huyet-ap/c8168
c11921,https://tiki.vn/que-thu-thai/c11921
c11923,https://tiki.vn/tui-chuom/c11923
c11925,https://tiki.vn/may-xong-mui-hong/c11925
c11929,https://tiki.vn/dung-cu-so-cuu/c11929
c11931,https://tiki.vn/vo-ngan-gian-tinh-mach/c11931
c1633,https://tiki.vn/bang-keo-ca-nhan/c1633
c2162,https://tiki.vn/cham-soc-mat/c2162
c2340,https://tiki.vn/may-massage/c2340
c2342,https://tiki.vn/thiet-bi-y-te/c2342
c8170,https://tiki.vn/can-suc-khoe/c8170
c8171,https://tiki.vn/nhiet-ke/c8171
c8172,https://tiki.vn/thiet-bi-khac/c8172
c8305,https://tiki.vn/khau-trang-y-te/c8305
c11893,https://tiki.vn/giam-them-an/c11893
c11895,https://tiki.vn/phan-giai-tinh-bot/c11895
c11897,https://tiki.vn/phan-giai-mo/c11897
c11899,https://tiki.vn/giai-phap-thay-the-bua-an/c11899
c11901,https://tiki.vn/thuc-pham-tang-can/c11901
c11857,https://tiki.vn/vitamin-tong-hop/c11857
c11859,https://tiki.vn/ho-tro-xuong-khop/c11859
c11861,https://tiki.vn/ho-tro-nao-va-tri-nho/c11861
c11863,https://tiki.vn/ho-tro-tieu-duong/c11863
c11865,https://tiki.vn/ho-tro-thai-san/c11865
c11867,https://tiki.vn/cham-soc-mat/c11867
c11869,https://tiki.vn/cham-soc-he-tieu-hoa/c11869
c11871,https://tiki.vn/tim-va-huyet-ap/c11871
c11873,https://tiki.vn/he-mien-dich/c11873
c11875,https://tiki.vn/thai-doc/c11875
c11877,https://tiki.vn/cham-soc-giac-ngu-stress-va-lo-lang/c11877
c11879,https://tiki.vn/suc-khoe-phai-nam/c11879
c11881,https://tiki.vn/suc-khoe-phai-nu/c11881
c11845,https://tiki.vn/chong-lao-hoa/c11845
c11847,https://tiki.vn/trang-da/c11847
c11849,https://tiki.vn/giam-tan-nhang-nam-da-sam-da/c11849
c11851,https://tiki.vn/cham-soc-toc-va-mong/c11851
c11853,https://tiki.vn/cham-soc-da-mun/c11853
c11855,https://tiki.vn/tang-kich-co-nguc/c11855
c11883,https://tiki.vn/mat-ong/c11883
c11885,https://tiki.vn/nhan-sam/c11885
c11887,https://tiki.vn/toi-den/c11887
c11889,https://tiki.vn/nghe/c11889
c11868,https://tiki.vn/san-pham-thien-nhien-lam-dep/c11868
c8224,https://tiki.vn/nen-thom/c8224
c8225,https://tiki.vn/den-xong/c8225
c8602,https://tiki.vn/tinh-dau/c8602
c5874,https://tiki.vn/duoc-my-pham/c5874
c1630,https://tiki.vn/bao-cao-su/c1630
c1631,https://tiki.vn/gel-boi-tron/c1631
c8161,https://tiki.vn/bo-san-pham-lam-dep/c8161
c49630,https://tiki.vn/giay-tay-nam-co-day/c49630
c49632,https://tiki.vn/giay-tay-nam-khong-day/c49632
c49620,https://tiki.vn/giay-the-thao-nam-co-thap/c49620
c49622,https://tiki.vn/giay-the-thao-nam-co-cao/c49622
c49624,https://tiki.vn/giay-luoi-vai-nam/c49624
c49626,https://tiki.vn/giay-luoi-da-nam/c49626
c49628,https://tiki.vn/giay-luoi-nhua-nam/c49628
c49634,https://tiki.vn/giay-sandals-nam-quai-ngang/c49634
c49636,https://tiki.vn/giay-sandals-nam-quai-cheo/c49636
c10383,https://tiki.vn/dep-nam-xo-ngon/c10383
c10384,https://tiki.vn/dep-nam-quai-ngang/c10384
c49638,https://tiki.vn/dep-nam-di-trong-nha/c49638
c49640,https://tiki.vn/giay-boots-nam-co-cao/c49640
c49642,https://tiki.vn/giay-boots-nam-co-thap/c49642
c49644,https://tiki.vn/ve-sinh-giay/c49644
c49646,https://tiki.vn/mieng-lot-giay-nam/c49646
c49648,https://tiki.vn/phu-kien-cho-giay-nam/c49648
c1008,https://tiki.vn/giay-de-xuong-nu/c1008
c49564,https://tiki.vn/giay-bup-be-mui-nhon/c49564
c49566,https://tiki.vn/giay-bup-be-mui-tron/c49566
c49568,https://tiki.vn/giay-bup-be-mui-vuong/c49568
c49552,https://tiki.vn/giay-the-thao-co-thap/c49552
c49554,https://tiki.vn/giay-the-thao-co-cao/c49554
c49556,https://tiki.vn/giay-sandals-de-bang/c49556
c49558,https://tiki.vn/giay-sandals-chien-binh/c49558
c49560,https://tiki.vn/giay-sandals-buoc-day/c49560
c49562,https://tiki.vn/giay-sandals-xo-ngon/c49562
c49582,https://tiki.vn/giay-luoi-cao-got/c49582
c49584,https://tiki.vn/giay-luoi-ho-got/c49584
c49586,https://tiki.vn/giay-luoi-mui-vuong/c49586
c49588,https://tiki.vn/giay-luoi-mui-nhon/c49588
c49542,https://tiki.vn/giay-cao-got-nhon/c49542
c49544,https://tiki.vn/giay-cao-got-quai-sau/c49544
c49546,https://tiki.vn/giay-bit-mui-quai-ngang/c49546
